Date,Open,High,Low,Close,Adj Close,Volume
2018-01-02,7.440000,7.490000,7.440000,7.470000,7.425536,1300700
2018-01-03,7.500000,7.510000,7.460000,7.500000,7.455358,1926000
2018-01-04,7.520000,7.570000,7.500000,7.570000,7.524941,2497500
2018-01-05,7.580000,7.590000,7.540000,7.570000,7.524941,1598700
2018-01-08,7.600000,7.600000,7.510000,7.590000,7.544822,1427500
2018-01-09,7.600000,7.640000,7.580000,7.620000,7.574643,1719000
2018-01-10,7.630000,7.640000,7.600000,7.630000,7.584584,1367400
2018-01-11,7.640000,7.640000,7.530000,7.560000,7.515000,1564500
2018-01-12,7.560000,7.590000,7.550000,7.550000,7.505060,1942200
2018-01-15,7.580000,7.600000,7.540000,7.570000,7.524941,1314600
2018-01-16,7.570000,7.600000,7.540000,7.570000,7.524941,2427500
2018-01-17,7.620000,7.870000,7.610000,7.780000,7.733691,7765100
2018-01-18,7.820000,7.910000,7.820000,7.860000,7.813215,3190900
2018-01-19,7.860000,7.980000,7.830000,7.980000,7.932500,4829500
2018-01-22,8.100000,8.350000,8.060000,8.350000,8.300298,8111800
2018-01-23,8.350000,8.500000,8.350000,8.490000,8.439465,4979800
2018-01-24,8.490000,8.490000,8.330000,8.400000,8.349999,2266800
2018-01-25,8.320000,8.360000,8.150000,8.170000,8.170000,3725000
2018-01-26,8.180000,8.300000,8.130000,8.230000,8.230000,2302600
2018-01-29,8.280000,8.300000,8.200000,8.280000,8.280000,1662600
2018-01-30,8.280000,8.300000,8.190000,8.200000,8.200000,2599800
2018-01-31,8.110000,8.210000,8.110000,8.200000,8.200000,4463100
2018-02-01,8.160000,8.240000,8.160000,8.230000,8.230000,2160500
2018-02-02,8.260000,8.260000,8.120000,8.160000,8.160000,2761200
2018-02-05,8.120000,8.140000,8.040000,8.040000,8.040000,3314900
2018-02-06,7.910000,7.960000,7.800000,7.880000,7.880000,4638300
2018-02-07,8.020000,8.070000,7.960000,8.010000,8.010000,4738340
2018-02-08,8.040000,8.050000,7.910000,8.010000,8.010000,3984800
2018-02-09,7.900000,7.900000,7.800000,7.890000,7.890000,3815500
2018-02-12,7.430000,7.440000,7.200000,7.310000,7.310000,19479700
2018-02-13,7.360000,7.450000,7.300000,7.300000,7.300000,6752700
2018-02-14,7.320000,7.420000,7.320000,7.390000,7.390000,7028000
2018-02-15,7.390000,7.400000,7.350000,7.370000,7.370000,2029000
2018-02-19,7.370000,7.730000,7.370000,7.710000,7.710000,6531100
2018-02-20,7.600000,7.640000,7.540000,7.540000,7.540000,4038600
2018-02-21,7.480000,7.620000,7.470000,7.590000,7.590000,2489400
2018-02-22,7.540000,7.570000,7.470000,7.480000,7.480000,2997800
2018-02-23,7.500000,7.590000,7.500000,7.530000,7.530000,2489900
2018-02-26,7.550000,7.630000,7.540000,7.610000,7.610000,2575000
2018-02-27,7.630000,7.670000,7.600000,7.650000,7.650000,2909900
2018-02-28,7.690000,7.690000,7.520000,7.550000,7.550000,3857600
2018-03-01,7.520000,7.550000,7.490000,7.540000,7.540000,1846500
2018-03-02,7.480000,7.520000,7.460000,7.480000,7.480000,1769800
