,Percentage,,,,,,,Real Number,,,,,,,,,,,,,,,,,,,,
,Mkt-RF,SMB,HML,RMW,CMA,RF,,Mkt-RF,SMB,HML,RMW,CMA,RF,,S&P Return,Rt-Rf,,,CAPM_Beta,,,Residual,E^2,RSS,Y-Ybar,(Y-Ybar)^2,TSS,ESS
199503,2.19,-0.8,-1.07,-0.43,0.19,0.46,,0.0219,-0.008,-0.0107,-0.0043,0.0019,0.0046,,0.027329193,0.022729193,,,,,,0.002018589,4.0747E-06,,0.017626522,0.000310694,,
199504,2.11,-0.4,2.26,-0.19,1.01,0.44,,0.0211,-0.004,0.0226,-0.0019,0.0101,0.0044,,0.027960359,0.023560359,,,,,,0.002965391,8.79355E-06,,0.018457687,0.000340686,,
199505,2.9,-2.03,1.69,0.57,0.09,0.54,,0.029,-0.0203,0.0169,0.0057,0.0009,0.0054,,0.036311712,0.030911712,,,,,,-0.000244803,5.99287E-08,,0.02580904,0.000666107,,
199506,2.72,2.93,-2.27,-0.48,-2.43,0.47,,0.0272,0.0293,-0.0227,-0.0048,-0.0243,0.0047,,0.021278544,0.016578544,,,,,,-0.001861639,3.4657E-06,,0.011475873,0.000131696,,
199507,3.72,2.11,-1.68,0.73,-1.71,0.45,,0.0372,0.0211,-0.0168,0.0073,-0.0171,0.0045,,0.03177604,0.02727604,,,,,,-0.003791598,1.43762E-05,,0.022173369,0.000491658,,
199508,0.55,1.86,2.71,-0.99,1.64,0.47,,0.0055,0.0186,0.0271,-0.0099,0.0164,0.0047,,-0.000320238,-0.005020238,,,,,,-0.006066296,3.67999E-05,,-0.010122909,0.000102473,,
199509,3.35,-1.91,-0.76,1.5,0.36,0.43,,0.0335,-0.0191,-0.0076,0.015,0.0036,0.0043,,0.040097472,0.035797472,,,,,,0.000248731,6.18669E-08,,0.030694801,0.000942171,,
199510,-1.52,-4.07,-0.75,2.25,-0.04,0.47,,-0.0152,-0.0407,-0.0075,0.0225,-0.0004,0.0047,,-0.004979335,-0.009679335,,,,,,7.94868E-05,6.31815E-09,,-0.014782006,0.000218508,,
199511,3.96,-1.18,0.94,-0.95,1.19,0.42,,0.0396,-0.0118,0.0094,-0.0095,0.0119,0.0042,,0.041049003,0.036849003,,,,,,-0.002984454,8.90697E-06,,0.031746331,0.00100783,,
199512,1.03,0.63,0.86,-1.05,2.99,0.49,,0.0103,0.0063,0.0086,-0.0105,0.0299,0.0049,,0.017443874,0.012543874,,,,,,0.004548384,2.06878E-05,,0.007441203,5.53715E-05,,
199601,2.26,-2.55,0.3,-0.33,2.28,0.43,,0.0226,-0.0255,0.003,-0.0033,0.0228,0.0043,,0.032617387,0.028317387,,,,,,0.002699243,7.28591E-06,,0.023214716,0.000538923,,
199602,1.33,1.78,-1.42,0.22,-1.8,0.39,,0.0133,0.0178,-0.0142,0.0022,-0.018,0.0039,,0.006933702,0.003033702,,,,,,-0.004183862,1.75047E-05,,-0.00206897,4.28064E-06,,
199603,0.73,1.56,1,1.14,-0.97,0.39,,0.0073,0.0156,0.01,0.0114,-0.0097,0.0039,,0.007916567,0.004016567,,,,,,0.000962225,9.25877E-07,,-0.001086104,1.17962E-06,,
199604,2.06,4.61,-3.9,0.02,-2.2,0.46,,0.0206,0.0461,-0.039,0.0002,-0.022,0.0046,,0.013431422,0.008831422,,,,,,-0.000167861,2.81775E-08,,0.003728751,1.39036E-05,,
199605,2.36,3.14,-1.2,0.22,-0.22,0.42,,0.0236,0.0314,-0.012,0.0022,-0.0022,0.0042,,0.022853406,0.018653406,,,,,,0.002535964,6.43111E-06,,0.013550734,0.000183622,,
199606,-1.14,-3.49,1.56,3.34,1.08,0.4,,-0.0114,-0.0349,0.0156,0.0334,0.0108,0.004,,0.00225671,-0.00174329,,,,,,0.003407052,1.1608E-05,,-0.006845961,4.68672E-05,,
199607,-5.97,-3.67,4.45,3.03,2.6,0.45,,-0.0597,-0.0367,0.0445,0.0303,0.026,0.0045,,-0.045748017,-0.050248017,,,,,,0.002126895,4.52368E-06,,-0.055350689,0.003063699,,
199608,2.77,2.57,-0.46,-0.4,-2.43,0.41,,0.0277,0.0257,-0.0046,-0.004,-0.0243,0.0041,,0.018813935,0.014713935,,,,,,-0.005332409,2.84346E-05,,0.009611264,9.23764E-05,,
199609,5.01,-1.42,-3.14,1.1,-2.18,0.44,,0.0501,-0.0142,-0.0314,0.011,-0.0218,0.0044,,0.054203328,0.049803328,,,,,,0.000265387,7.04301E-08,,0.044700656,0.001998149,,
199610,0.86,-3.92,5.12,0.88,2.97,0.42,,0.0086,-0.0392,0.0512,0.0088,0.0297,0.0042,,0.026101003,0.021901003,,,,,,0.005901475,3.48274E-05,,0.016798332,0.000282184,,
199611,6.25,-3.8,1.16,2.06,-0.73,0.41,,0.0625,-0.038,0.0116,0.0206,-0.0073,0.0041,,0.073376152,0.069276152,,,,,,0.001006807,1.01366E-06,,0.06417348,0.004118236,,
199612,-1.7,3.24,0.9,0.63,1.51,0.46,,-0.017,0.0324,0.009,0.0063,0.0151,0.0046,,-0.021505415,-0.026105415,,,,,,-0.002627413,6.9033E-06,,-0.031208087,0.000973945,,
199701,4.98,-1.9,-1.64,0.93,-0.27,0.45,,0.0498,-0.019,-0.0164,0.0093,-0.0027,0.0045,,0.061317039,0.056817039,,,,,,0.005677653,3.22357E-05,,0.051714368,0.002674376,,
199702,-0.49,-2.52,5.19,0.85,3.4,0.39,,-0.0049,-0.0252,0.0519,0.0085,0.034,0.0039,,0.00592759,0.00202759,,,,,,0.001766498,3.12052E-06,,-0.003075081,9.45613E-06,,
199703,-5.02,-0.39,3.81,0.79,1.67,0.43,,-0.0502,-0.0039,0.0381,0.0079,0.0167,0.0043,,-0.04261401,-0.04691401,,,,,,0.003181472,1.01218E-05,,-0.052016682,0.002705735,,
199704,4.04,-5.74,-0.07,3.38,-0.91,0.43,,0.0404,-0.0574,-0.0007,0.0338,-0.0091,0.0043,,0.058405579,0.054105579,,,,,,0.004545525,2.06618E-05,,0.049002908,0.002401285,,
199705,6.74,4.64,-3.87,-1.15,-2.9,0.49,,0.0674,0.0464,-0.0387,-0.0115,-0.029,0.0049,,0.058576884,0.053676884,,,,,,-0.001497862,2.24359E-06,,0.048574213,0.002359454,,
199706,4.1,1.19,1.23,0.63,0.54,0.37,,0.041,0.0119,0.0123,0.0063,0.0054,0.0037,,0.043452616,0.039752616,,,,,,0.001672817,2.79832E-06,,0.034649944,0.001200619,,
199707,7.33,-2.82,0.84,-0.33,-2.54,0.43,,0.0733,-0.0282,0.0084,-0.0033,-0.0254,0.0043,,0.07814581,0.07384581,,,,,,-0.001408232,1.98312E-06,,0.068743138,0.004725619,,
199708,-4.15,7.63,1.38,-1.16,-0.03,0.41,,-0.0415,0.0763,0.0138,-0.0116,-0.0003,0.0041,,-0.057465632,-0.061565632,,,,,,-0.004521838,2.0447E-05,,-0.066668303,0.004444663,,
199709,5.35,2.56,0.02,-1.19,-0.91,0.44,,0.0535,0.0256,0.0002,-0.0119,-0.0091,0.0044,,0.05315359,0.04875359,,,,,,0.002344785,5.49802E-06,,0.043650919,0.001905403,,
199710,-3.8,-0.5,1.96,0.94,1.89,0.42,,-0.038,-0.005,0.0196,0.0094,0.0189,0.0042,,-0.034477697,-0.038677697,,,,,,-0.000787365,6.19944E-07,,-0.043780369,0.001916721,,
199711,2.98,-5.01,0.78,3.14,1.66,0.39,,0.0298,-0.0501,0.0078,0.0314,0.0166,0.0039,,0.044586855,0.040686855,,,,,,0.001829277,3.34625E-06,,0.035584183,0.001266234,,
199712,1.32,-2.02,3.46,0.93,1.91,0.48,,0.0132,-0.0202,0.0346,0.0093,0.0191,0.0048,,0.015731598,0.010931598,,,,,,-0.005726434,3.2792E-05,,0.005828926,3.39764E-05,,
199801,0.15,-1.39,-1.45,0.73,-0.83,0.43,,0.0015,-0.0139,-0.0145,0.0073,-0.0083,0.0043,,0.010150177,0.005850177,,,,,,0.004601031,2.11695E-05,,0.000747505,5.58764E-07,,
199802,7.04,0,-0.13,-0.85,-2.42,0.39,,0.0704,0,-0.0013,-0.0085,-0.0242,0.0039,,0.070449193,0.066549193,,,,,,-0.000631592,3.98908E-07,,0.061446522,0.003775675,,
199803,4.76,-0.63,1.06,-0.78,-0.48,0.39,,0.0476,-0.0063,0.0106,-0.0078,-0.0048,0.0039,,0.049945714,0.046045714,,,,,,-0.0003581,1.28236E-07,,0.040943043,0.001676333,,
199804,0.73,0,0.74,-2.02,-0.23,0.43,,0.0073,0,0.0074,-0.0202,-0.0023,0.0043,,0.009076469,0.004776469,,,,,,0.000786378,6.1839E-07,,-0.000326202,1.06408E-07,,
199805,-3.07,-3.14,4.16,0.58,2.54,0.4,,-0.0307,-0.0314,0.0416,0.0058,0.0254,0.004,,-0.018826224,-0.022826224,,,,,,0.0027239,7.41963E-06,,-0.027928895,0.000780023,,
199806,3.18,-3.63,-2.32,-0.36,-2.91,0.41,,0.0318,-0.0363,-0.0232,-0.0036,-0.0291,0.0041,,0.039438241,0.035338241,,,,,,0.001609847,2.59161E-06,,0.03023557,0.00091419,,
199807,-2.46,-5.35,-0.97,1.89,0.45,0.4,,-0.0246,-0.0535,-0.0097,0.0189,0.0045,0.004,,-0.011615327,-0.015615327,,,,,,0.001578865,2.49281E-06,,-0.020717998,0.000429235,,
199808,-16.08,-5.04,3.41,2.97,5.84,0.43,,-0.1608,-0.0504,0.0341,0.0297,0.0584,0.0043,,-0.145796719,-0.150096719,,,,,,0.000921793,8.49702E-07,,-0.15519939,0.024086851,,
199809,6.15,-0.86,-3.31,-1.44,-2.9,0.46,,0.0615,-0.0086,-0.0331,-0.0144,-0.029,0.0046,,0.062395516,0.057795516,,,,,,-0.000448007,2.0071E-07,,0.052692844,0.002776536,,
199810,7.13,-3.5,-2.2,0.76,0.27,0.32,,0.0713,-0.035,-0.022,0.0076,0.0027,0.0032,,0.080294228,0.077094228,,,,,,0.001636278,2.6774E-06,,0.071991557,0.005182784,,
199811,6.1,0.66,-3.14,-0.72,-1.15,0.31,,0.061,0.0066,-0.0314,-0.0072,-0.0115,0.0031,,0.059125996,0.056025996,,,,,,-0.000448433,2.01092E-07,,0.050923325,0.002593185,,
199812,6.16,-1.52,-4.46,-0.59,-3.35,0.38,,0.0616,-0.0152,-0.0446,-0.0059,-0.0335,0.0038,,0.056375287,0.052575287,,,,,,-0.006873975,4.72515E-05,,0.047472615,0.002253649,,
199901,3.5,-0.78,-4.03,-2.2,-6.88,0.35,,0.035,-0.0078,-0.0403,-0.022,-0.0688,0.0035,,0.041009442,0.037509442,,,,,,0.008510781,7.24334E-05,,0.03240677,0.001050199,,
199902,-4.08,-5.13,1.4,-1.7,4.09,0.35,,-0.0408,-0.0513,0.014,-0.017,0.0409,0.0035,,-0.032282563,-0.035782563,,,,,,-0.001927062,3.71357E-06,,-0.040885234,0.001671602,,
199903,3.45,-4.22,-2.64,-3.93,-1.38,0.43,,0.0345,-0.0422,-0.0264,-0.0393,-0.0138,0.0043,,0.038794215,0.034494215,,,,,,-0.001382112,1.91023E-06,,0.029391544,0.000863863,,
199904,4.33,4.77,2.51,-1.79,0.92,0.37,,0.0433,0.0477,0.0251,-0.0179,0.0092,0.0037,,0.037944028,0.034244028,,,,,,0.000690099,4.76237E-07,,0.029141357,0.000849219,,
199905,-2.46,3.76,2.4,1.04,3.34,0.34,,-0.0246,0.0376,0.024,0.0104,0.0334,0.0034,,-0.024970481,-0.028370481,,,,,,0.002206079,4.86678E-06,,-0.033473152,0.001120452,,
199906,4.77,2.25,-3.59,1.31,-3.39,0.4,,0.0477,0.0225,-0.0359,0.0131,-0.0339,0.004,,0.054438331,0.050438331,,,,,,0.009879695,9.76084E-05,,0.04533566,0.002055322,,
199907,-3.47,2.49,-0.77,0.37,3.09,0.38,,-0.0347,0.0249,-0.0077,0.0037,0.0309,0.0038,,-0.032046092,-0.035846092,,,,,,0.004148625,1.72111E-05,,-0.040948764,0.001676801,,
199908,-1.38,-1.92,-1.31,-0.12,0.32,0.39,,-0.0138,-0.0192,-0.0131,-0.0012,0.0032,0.0039,,-0.006254092,-0.010154092,,,,,,0.003132856,9.81478E-06,,-0.015256763,0.000232769,,
199909,-2.81,2.56,-3.39,-0.71,-1.03,0.39,,-0.0281,0.0256,-0.0339,-0.0071,-0.0103,0.0039,,-0.028551792,-0.032451792,,,,,,0.004109546,1.68884E-05,,-0.037554464,0.001410338,,
199910,6.13,-7.13,-2.88,-1.94,-1.27,0.39,,0.0613,-0.0713,-0.0288,-0.0194,-0.0127,0.0039,,0.062539542,0.058639542,,,,,,-0.010244086,0.000104941,,0.05353687,0.002866196,,
199911,3.37,5.92,-6.5,-3.83,-1.56,0.36,,0.0337,0.0592,-0.065,-0.0383,-0.0156,0.0036,,0.019061859,0.015461859,,,,,,-0.001915084,3.66755E-06,,0.010359187,0.000107313,,
199912,7.72,5.55,-8.67,-7.42,-5.16,0.44,,0.0772,0.0555,-0.0867,-0.0742,-0.0516,0.0044,,0.057843895,0.053443895,,,,,,-0.004164785,1.73454E-05,,0.048341223,0.002336874,,
200001,-4.74,4.12,-0.31,-5.94,4.68,0.41,,-0.0474,0.0412,-0.0031,-0.0594,0.0468,0.0041,,-0.050903549,-0.055003549,,,,,,0.003448507,1.18922E-05,,-0.06010622,0.003612758,,
200002,2.45,18.38,-9.93,-17.99,-0.51,0.43,,0.0245,0.1838,-0.0993,-0.1799,-0.0051,0.0043,,-0.020108083,-0.024408083,,,,,,-0.003115512,9.70642E-06,,-0.029510755,0.000870885,,
200003,5.2,-14.94,7.37,11.55,-1.06,0.47,,0.052,-0.1494,0.0737,0.1155,-0.0106,0.0047,,0.096719828,0.092019828,,,,,,0.008899378,7.91989E-05,,0.086917157,0.007554592,,
200004,-6.4,-5.65,8.6,6.8,5.24,0.46,,-0.064,-0.0565,0.086,0.068,0.0524,0.0046,,-0.030795756,-0.035395756,,,,,,0.01359631,0.00018486,,-0.040498427,0.001640123,,
200005,-4.42,-3.7,2.56,4.08,0.73,0.5,,-0.0442,-0.037,0.0256,0.0408,0.0073,0.005,,-0.021915051,-0.026915051,,,,,,0.01044091,0.000109013,,-0.032017722,0.001025135,,
200006,4.64,10.29,-9.86,-7.22,-3.06,0.4,,0.0464,0.1029,-0.0986,-0.0722,-0.0306,0.004,,0.02393355,0.01993355,,,,,,0.000471611,2.22417E-07,,0.014830878,0.000219955,,
200007,-2.51,-1,8.14,5.45,3,0.48,,-0.0251,-0.01,0.0814,0.0545,0.03,0.0048,,-0.016341276,-0.021141276,,,,,,-0.00184491,3.40369E-06,,-0.026243948,0.000688745,,
200008,7.03,-1.1,-0.68,-3.05,0.61,0.5,,0.0703,-0.011,-0.0068,-0.0305,0.0061,0.005,,0.060699105,0.055699105,,,,,,-0.013058425,0.000170522,,0.050596434,0.002559999,,
200009,-5.45,0.22,6.24,3.37,6.38,0.51,,-0.0545,0.0022,0.0624,0.0337,0.0638,0.0051,,-0.053482975,-0.058582975,,,,,,-0.007361077,5.41854E-05,,-0.063685646,0.004055862,,
200010,-2.76,-2.81,5.52,9.55,4.7,0.56,,-0.0276,-0.0281,0.0552,0.0955,0.047,0.0056,,-0.004949486,-0.010549486,,,,,,0.005766019,3.3247E-05,,-0.015652157,0.00024499,,
200011,-10.72,-0.47,11.3,12.82,8.51,0.51,,-0.1072,-0.0047,0.113,0.1282,0.0851,0.0051,,-0.08006861,-0.08516861,,,,,,0.010226025,0.000104572,,-0.090271281,0.008148904,,
200012,1.19,3.25,7.33,1.89,5.72,0.5,,0.0119,0.0325,0.0733,0.0189,0.0572,0.005,,0.004053446,-0.000946554,,,,,,-0.010841392,0.000117536,,-0.006049226,3.65931E-05,,
200101,3.13,5.75,-4.9,-4.89,-6.54,0.54,,0.0313,0.0575,-0.049,-0.0489,-0.0654,0.0054,,0.034636577,0.029236577,,,,,,0.016400108,0.000268964,,0.024133906,0.000582445,,
200102,-10.05,2.66,12.9,9.13,9.58,0.38,,-0.1005,0.0266,0.129,0.0913,0.0958,0.0038,,-0.092290736,-0.096090736,,,,,,-0.000974199,9.49063E-07,,-0.101193407,0.010240106,,
200103,-7.26,2.32,6.45,3.34,3.95,0.42,,-0.0726,0.0232,0.0645,0.0334,0.0395,0.0042,,-0.064204711,-0.068404711,,,,,,0.005561468,3.09299E-05,,-0.073507382,0.005403335,,
200104,7.94,-0.65,-4.69,-3.06,-3.97,0.39,,0.0794,-0.0065,-0.0469,-0.0306,-0.0397,0.0039,,0.076814362,0.072914362,,,,,,-0.001258112,1.58285E-06,,0.06781169,0.004598425,,
200105,0.72,3.6,3.14,0.46,2.19,0.32,,0.0072,0.036,0.0314,0.0046,0.0219,0.0032,,0.005090187,0.001890187,,,,,,0.000776563,6.0305E-07,,-0.003212484,1.03201E-05,,
200106,-1.94,6.6,-1.06,1.71,-1.8,0.28,,-0.0194,0.066,-0.0106,0.0171,-0.018,0.0028,,-0.025035389,-0.027835389,,,,,,0.004892906,2.39405E-05,,-0.032938061,0.001084916,,
200107,-2.13,-2.95,5.58,7.03,3,0.3,,-0.0213,-0.0295,0.0558,0.0703,0.03,0.003,,-0.01074015,-0.01374015,,,,,,-0.001779361,3.16613E-06,,-0.018842821,0.000355052,,
200108,-6.46,2.71,2.5,4.09,6.5,0.31,,-0.0646,0.0271,0.025,0.0409,0.065,0.0031,,-0.064108407,-0.067208407,,,,,,-0.001226574,1.50448E-06,,-0.072311078,0.005228892,,
200109,-9.25,-5.72,1.6,5.24,3.28,0.28,,-0.0925,-0.0572,0.016,0.0524,0.0328,0.0028,,-0.081723406,-0.084523406,,,,,,-0.003318053,1.10095E-05,,-0.089626077,0.008032834,,
200110,2.46,5.4,-8.1,-2.82,-4.6,0.22,,0.0246,0.054,-0.081,-0.0282,-0.046,0.0022,,0.018099111,0.015899111,,,,,,0.007978967,6.36639E-05,,0.01079644,0.000116563,,
200111,7.54,-0.27,2,-3.53,-1.66,0.17,,0.0754,-0.0027,0.02,-0.0353,-0.0166,0.0017,,0.075175904,0.073475904,,,,,,0.001532807,2.3495E-06,,0.068373233,0.004674899,,
200112,1.61,5.14,1.1,0.24,-0.32,0.15,,0.0161,0.0514,0.011,0.0024,-0.0032,0.0015,,0.007573834,0.006073834,,,,,,0.000261312,6.82842E-08,,0.000971163,9.43157E-07,,
200201,-1.44,1.2,3.33,4.42,2.84,0.14,,-0.0144,0.012,0.0333,0.0442,0.0284,0.0014,,-0.015573833,-0.016973833,,,,,,-0.002941606,8.65304E-06,,-0.022076504,0.000487372,,
200202,-2.29,-0.46,2.5,7.71,5.14,0.13,,-0.0229,-0.0046,0.025,0.0771,0.0514,0.0013,,-0.020766211,-0.022066211,,,,,,-0.004947813,2.44809E-05,,-0.027168883,0.000738148,,
200203,4.24,4.23,1.11,-1.93,0.58,0.13,,0.0424,0.0423,0.0111,-0.0193,0.0058,0.0013,,0.036738894,0.035438894,,,,,,0.002493121,6.21565E-06,,0.030336222,0.000920286,,
200204,-5.2,6.67,3.93,4.21,5.39,0.15,,-0.052,0.0667,0.0393,0.0421,0.0539,0.0015,,-0.061417626,-0.062917626,,,,,,-0.003083384,9.50726E-06,,-0.068020298,0.004626761,,
200205,-1.38,-3.06,1.69,2.43,2.41,0.14,,-0.0138,-0.0306,0.0169,0.0243,0.0241,0.0014,,-0.009081481,-0.010481481,,,,,,-0.00227138,5.15917E-06,,-0.015584152,0.000242866,,
200206,-7.21,3.85,0.13,3.84,2.54,0.13,,-0.0721,0.0385,0.0013,0.0384,0.0254,0.0013,,-0.072455354,-0.073755354,,,,,,0.004151766,1.72372E-05,,-0.078858026,0.006218588,,
200207,-8.18,-6.27,-3.41,3.84,-0.73,0.15,,-0.0818,-0.0627,-0.0341,0.0384,-0.0073,0.0015,,-0.079004275,-0.080504275,,,,,,-0.007137345,5.09417E-05,,-0.085606946,0.007328549,,
200208,0.5,-1.25,2.49,1.29,-1.61,0.14,,0.005,-0.0125,0.0249,0.0129,-0.0161,0.0014,,0.004881433,0.003481433,,,,,,-0.002067349,4.27393E-06,,-0.001621238,2.62841E-06,,
200209,-10.35,3.08,1.31,3.19,-2.29,0.14,,-0.1035,0.0308,0.0131,0.0319,-0.0229,0.0014,,-0.110024318,-0.111424318,,,,,,-0.000906303,8.21385E-07,,-0.11652699,0.013578539,,
200210,7.84,-4.08,-5.46,-2.95,0.92,0.14,,0.0784,-0.0408,-0.0546,-0.0295,0.0092,0.0014,,0.086448801,0.085048801,,,,,,0.004236674,1.79494E-05,,0.07994613,0.006391384,,
200211,5.96,2.91,-1.15,-9.15,5.16,0.12,,0.0596,0.0291,-0.0115,-0.0915,0.0516,0.0012,,0.057069621,0.055869621,,,,,,0.006288658,3.95472E-05,,0.05076695,0.002577283,,
200212,-5.76,0.48,2.25,6.06,-1.61,0.11,,-0.0576,0.0048,0.0225,0.0606,-0.0161,0.0011,,-0.060332573,-0.061432573,,,,,,-0.003759159,1.41313E-05,,-0.066535244,0.004426939,,
200301,-2.57,0.81,-0.93,-0.67,0.81,0.1,,-0.0257,0.0081,-0.0093,-0.0067,0.0081,0.001,,-0.027414693,-0.028414693,,,,,,0.001390915,1.93464E-06,,-0.033517364,0.001123414,,
200302,-1.88,-0.92,-1.46,0.72,-0.54,0.09,,-0.0188,-0.0092,-0.0146,0.0072,-0.0054,0.0009,,-0.017003609,-0.017903609,,,,,,0.001985798,3.94339E-06,,-0.02300628,0.000529289,,
200303,1.09,0.52,-2.09,1.49,-0.69,0.1,,0.0109,0.0052,-0.0209,0.0149,-0.0069,0.001,,0.008357569,0.007357569,,,,,,-0.000584774,3.41961E-07,,0.002254897,5.08456E-06,,
200304,8.22,1.03,1.03,-4.89,1.15,0.1,,0.0822,0.0103,0.0103,-0.0489,0.0115,0.001,,0.081044107,0.080044107,,,,,,0.003213301,1.03253E-05,,0.074941435,0.005616219,,
200305,6.05,4.84,-0.3,-6.78,3.22,0.09,,0.0605,0.0484,-0.003,-0.0678,0.0322,0.0009,,0.05089871,0.04999871,,,,,,0.001899728,3.60897E-06,,0.044896038,0.002015654,,
200306,1.42,1.66,0.66,0.51,-0.32,0.1,,0.0142,0.0166,0.0066,0.0051,-0.0032,0.001,,0.011322215,0.010322215,,,,,,0.000649811,4.22254E-07,,0.005219543,2.72436E-05,,
200307,2.35,4.77,-1.15,-4.14,1.89,0.07,,0.0235,0.0477,-0.0115,-0.0414,0.0189,0.0007,,0.016223702,0.015523702,,,,,,0.003862252,1.4917E-05,,0.010421031,0.000108598,,
200308,2.34,2.59,2.03,-2.42,2.19,0.07,,0.0234,0.0259,0.0203,-0.0242,0.0219,0.0007,,0.017873203,0.017173203,,,,,,5.52495E-05,3.0525E-09,,0.012070532,0.000145698,,
200309,-1.24,0.48,0.02,1.13,0.28,0.08,,-0.0124,0.0048,0.0002,0.0113,0.0028,0.0008,,-0.011944365,-0.012744365,,,,,,0.002011607,4.04656E-06,,-0.017847036,0.000318517,,
200310,6.08,2.68,1.76,-1.23,1.58,0.07,,0.0608,0.0268,0.0176,-0.0123,0.0158,0.0007,,0.054961486,0.054261486,,,,,,-0.000821654,6.75116E-07,,0.049158815,0.002416589,,
200311,1.35,2.19,1.86,0.18,1.69,0.07,,0.0135,0.0219,0.0186,0.0018,0.0169,0.0007,,0.007128504,0.006428504,,,,,,-0.002650915,7.02735E-06,,0.001325832,1.75783E-06,,
200312,4.29,-2.71,2.42,-0.26,1,0.08,,0.0429,-0.0271,0.0242,-0.0026,0.01,0.0008,,0.050765541,0.049965541,,,,,,0.003577419,1.27979E-05,,0.04486287,0.002012677,,
200401,2.15,2.55,1.97,-3.69,3.34,0.07,,0.0215,0.0255,0.0197,-0.0369,0.0334,0.0007,,0.017276387,0.016576387,,,,,,0.001582216,2.50341E-06,,0.011473716,0.000131646,,
200402,1.4,-0.89,0.49,2.48,-1.35,0.06,,0.014,-0.0089,0.0049,0.0248,-0.0135,0.0006,,0.012208973,0.011608973,,,,,,-0.002743289,7.52563E-06,,0.006506302,4.2332E-05,,
200403,-1.32,2.13,0.21,1.76,-1.04,0.09,,-0.0132,0.0213,0.0021,0.0176,-0.0104,0.0009,,-0.016358919,-0.017258919,,,,,,0.001171059,1.37138E-06,,-0.022361591,0.000500041,,
200404,-1.83,-2.19,-2.62,3.61,-2.82,0.08,,-0.0183,-0.0219,-0.0262,0.0361,-0.0282,0.0008,,-0.016790752,-0.017590752,,,,,,-0.000732817,5.37021E-07,,-0.022693423,0.000514991,,
200405,1.17,-0.38,-0.39,-1.07,-0.09,0.06,,0.0117,-0.0038,-0.0039,-0.0107,-0.0009,0.0006,,0.01208345,0.01148345,,,,,,0.002087418,4.35731E-06,,0.006380779,4.07143E-05,,
200406,1.86,2.57,1.38,1.04,-0.39,0.08,,0.0186,0.0257,0.0138,0.0104,-0.0039,0.0008,,0.017988999,0.017188999,,,,,,0.004105013,1.68511E-05,,0.012086327,0.000146079,,
200407,-4.06,-3.03,4.1,4.9,-1.64,0.1,,-0.0406,-0.0303,0.041,0.049,-0.0164,0.001,,-0.034290519,-0.035290519,,,,,,-0.000312683,9.77706E-08,,-0.040393191,0.00163161,,
200408,0.08,-1.29,1.03,1.11,-1.42,0.11,,0.0008,-0.0129,0.0103,0.0111,-0.0142,0.0011,,0.00228735,0.00118735,,,,,,0.000207369,4.30018E-08,,-0.003915322,1.53297E-05,,
200409,1.6,3.29,-0.25,-1.59,-1.88,0.11,,0.016,0.0329,-0.0025,-0.0159,-0.0188,0.0011,,0.009363876,0.008263876,,,,,,0.001625725,2.64298E-06,,0.003161204,9.99321E-06,,
200410,1.43,0.27,-0.62,-0.33,0.41,0.11,,0.0143,0.0027,-0.0062,-0.0033,0.0041,0.0011,,0.014014244,0.012914244,,,,,,0.001362829,1.8573E-06,,0.007811572,6.10207E-05,,
200411,4.54,4.15,1.79,-1.07,-0.23,0.15,,0.0454,0.0415,0.0179,-0.0107,-0.0023,0.0015,,0.038594936,0.037094936,,,,,,0.00065661,4.31136E-07,,0.031992265,0.001023505,,
200412,3.43,0,-0.06,-1.19,0.5,0.16,,0.0343,0,-0.0006,-0.0119,0.005,0.0016,,0.032458213,0.030858213,,,,,,-0.000985916,9.72029E-07,,0.025755542,0.000663348,,
200501,-2.76,-1.13,1.97,2.85,-1.37,0.16,,-0.0276,-0.0113,0.0197,0.0285,-0.0137,0.0016,,-0.025290467,-0.026890467,,,,,,-0.000252371,6.36913E-08,,-0.031993138,0.001023561,,
200502,1.89,-0.33,1.63,0.63,-0.06,0.16,,0.0189,-0.0033,0.0163,0.0063,-0.0006,0.0016,,0.018903346,0.017303346,,,,,,-0.000819184,6.71063E-07,,0.012200675,0.000148856,,
200503,-1.97,-1.39,1.58,0.8,1.1,0.21,,-0.0197,-0.0139,0.0158,0.008,0.011,0.0021,,-0.019117656,-0.021217656,,,,,,-0.002731922,7.4634E-06,,-0.026320327,0.00069276,,
200504,-2.61,-4.04,-0.34,0.74,-0.88,0.21,,-0.0261,-0.0404,-0.0034,0.0074,-0.0088,0.0021,,-0.020108582,-0.022208582,,,,,,-0.000237687,5.64952E-08,,-0.027311253,0.000745905,,
200505,3.65,2.73,-0.81,-1.16,0.27,0.24,,0.0365,0.0273,-0.0081,-0.0116,0.0027,0.0024,,0.029952046,0.027552046,,,,,,-0.001744979,3.04495E-06,,0.022449375,0.000503974,,
200506,0.57,3.26,2.62,0.91,-0.53,0.23,,0.0057,0.0326,0.0262,0.0091,-0.0053,0.0023,,-0.000142714,-0.002442714,,,,,,-0.001551997,2.40869E-06,,-0.007545386,5.69328E-05,,
200507,3.92,2.8,-0.51,-1.24,-0.98,0.24,,0.0392,0.028,-0.0051,-0.0124,-0.0098,0.0024,,0.035968287,0.033568287,,,,,,0.002178908,4.74764E-06,,0.028465616,0.000810291,,
